name,format,coord_string,precision_value,precision_units
SC1,dd mm.mmm,37 46.534 -122 21.949,0,meter
T1,dd mm.mmm,,0,meter
RC BOAT,dd mm.mmm,,0,meter
NAS1,dd mm.mmm,37 46.533 -122 21.949,0,meter
NAS2,dd mm.mmm,37 46.451 -122 20.461,0,meter
YB,dd mm.mmm,37 47.971 -122 21.631,0,meter
W,dd mm.mmm,37 48.804 -122 22.966,20,meter
R,dd mm.mmm,37 46.664 -122 22.934,20,meter
Gate G1,dd mm.mmm,,0,meter
Gate G2,dd mm.mmm,,0,meter
AS1,dd mm.mmm,37 46.282 -122 22.981,0,meter
34,dd mm.mmm,37 45.535 -122 22.058,0,meter
